# Simulation 15 (Up to date)
# 495 data points written for 53 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23,1 m/s)
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Accelerazione verticale (m/s²),Velocita' totale (m/s),Accelerazione totale (m/s²),Posizione sopravento (m),Posizione parallela al vento (m),Distanza laterale (m),Direzione laterale (°),Velocita' laterale (m/s),Accelerazione laterale (m/s²),Latitudine (°),Longitudine (°),Gravitational acceleration (m/s²),Angolo d'attacco (°),Tasso di rollio (°/s),Tasso di beccheggio (°/s),Tasso di impennaggio (°/s),Massa (g),Propellant mass (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CP  (cm),posizione CG (cm),Calibri del margine di stabilita' (?),Numero di Mach (?),Numero di Reynolds (?),Spinta (N),Forza d'attrito (N),Coefficiente d'attrito (?),Coefficiente d'attrito assiale (?),Coefficiente d'attrito causato dalla pressione (?),Coefficiente d'attrito di base (?),coefficiente della forza normale (?),coefficiente del momento di beccheggio (?),coefficiente del momento di impennaggio (?),coefficiente della forza laterale (?),coefficiente del momento di rollio (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Accelerazione di Coriolis  (m/s²),Reference length (cm),Reference area (cm²),Orientazione verticale (zenith) (°),Orientazione laterale (azimuth) (°),Velocita' del vento (m/s),Temperatura dell'aria (°C),Pressione dell'aria (mbar),Velocita' del suono (m/s),Intervallo di tempo della simulazione (s),Tempo del calcolo (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
8.8833,732.66,17.657,-93.981,18.39,94.969,25.347,0.013223,25.347,0.029891,0.71262,13.667,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0545,1441639,0,48.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018368,NaN,NaN,NaN,NaN,2.1623,10.108,926.39,337.42,0.0052649,0.5402
8.8888,732.76,17.163,-89.459,17.89,90.393,25.35,0.013233,25.35,0.029908,0.6409,12.966,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.053018,1402425,0,45.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017863,NaN,NaN,NaN,NaN,2.1613,10.108,926.38,337.42,0.0055314,0.54035
8.8947,732.86,16.668,-85.061,17.39,85.944,25.354,0.013242,25.354,0.029925,0.56943,12.285,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.051536,1363212,0,43.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017358,NaN,NaN,NaN,NaN,2.1603,10.107,926.37,337.42,0.0058177,0.54048
8.9008,732.96,16.173,-80.789,16.89,81.621,25.357,0.013252,25.357,0.029943,0.49823,11.622,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.050054,1323998,0,40.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016854,NaN,NaN,NaN,NaN,2.1592,10.106,926.36,337.42,0.0061259,0.54061
8.9072,733.06,15.678,-76.64,16.389,77.422,25.36,0.013262,25.36,0.029962,0.42737,10.973,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.048572,1284768,0,38.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016349,NaN,NaN,NaN,NaN,2.1567,10.106,926.35,337.42,0.0064581,0.54074
8.9141,733.16,15.183,-72.61,15.887,73.337,25.363,0.013272,25.363,0.029982,0.35712,10.303,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.047084,1245411,0,36.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015846,NaN,NaN,NaN,NaN,2.1442,10.105,926.34,337.42,0.0068178,0.54086
8.9213,733.27,14.688,-68.704,15.385,69.379,25.365,0.013283,25.365,0.030004,0.28755,9.6536,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.045596,1206047,0,33.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015342,NaN,NaN,NaN,NaN,2.1309,10.104,926.32,337.42,0.0072068,0.54098
8.9289,733.38,14.192,-64.923,14.883,65.548,25.367,0.013294,25.367,0.030026,0.21871,9.0248,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.044108,1166675,0,31.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014839,NaN,NaN,NaN,NaN,2.1169,10.104,926.31,337.42,0.007628,0.54112
8.937,733.5,13.697,-61.267,14.381,61.842,25.369,0.013305,25.369,0.030049,0.15066,8.4168,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.04262,1127294,0,29.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014337,NaN,NaN,NaN,NaN,2.1021,10.103,926.3,337.42,0.0080851,0.54124
8.9456,733.61,13.202,-57.735,13.879,58.264,25.37,0.013316,25.37,0.030074,0.083473,7.8296,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.041131,1087904,0,27.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013835,NaN,NaN,NaN,NaN,2.0864,10.102,926.29,337.42,0.0085817,0.54136
8.9547,733.73,12.706,-54.328,13.376,54.812,25.37,0.013328,25.37,0.030101,0.017254,7.2633,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.039642,1048505,0,25.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013333,NaN,NaN,NaN,NaN,2.0698,10.102,926.27,337.42,0.0091221,0.54149
8.9644,733.85,12.21,-51.056,12.876,51.505,25.37,0.013341,25.37,0.030129,0.048645,6.7816,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.038162,1009338,0,23.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012832,NaN,NaN,NaN,NaN,2.0712,10.101,926.26,337.42,0.0097079,0.54161
8.9747,733.97,11.715,-47.919,12.38,48.341,25.369,0.013353,25.369,0.030158,0.11462,6.3799,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.036691,970424,0,21.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012332,NaN,NaN,NaN,NaN,2.0922,10.1,926.25,337.42,0.010343,0.54174
8.9858,734.1,11.219,-44.906,11.884,45.304,25.367,0.013366,25.367,0.03019,0.18077,5.9933,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.035221,931537,0,20.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011832,NaN,NaN,NaN,NaN,2.1144,10.099,926.23,337.42,0.011036,0.54186
8.9976,734.23,10.723,-42.019,11.389,42.393,25.365,0.01338,25.365,0.030223,0.24707,5.6216,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.033752,892681,0,18.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011333,NaN,NaN,NaN,NaN,2.1382,10.098,926.22,337.42,0.011794,0.54198
9.0102,734.36,10.228,-39.257,10.893,39.608,25.361,0.013394,25.361,0.030259,0.31353,5.2648,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.032285,853861,0,16.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010836,NaN,NaN,NaN,NaN,2.1636,10.098,926.2,337.42,0.012624,0.54211
9.0237,734.5,9.7324,-36.617,10.398,36.943,25.357,0.013408,25.357,0.030297,0.3799,4.9038,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.030815,814983,0,15.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010339,NaN,NaN,NaN,NaN,2.1838,10.097,926.19,337.42,0.013534,0.54223
9.0383,734.63,9.2368,-34.101,9.9018,34.403,25.351,0.013423,25.351,0.030338,0.44608,4.5538,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.029346,776115,0,14.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8444e-4,NaN,NaN,NaN,NaN,2.2036,10.096,926.17,337.42,0.014533,0.54236
9.0539,734.78,8.7411,-31.71,9.4065,31.989,25.343,0.013439,25.343,0.030382,0.51203,4.2196,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.027878,737287,0,12.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.351e-4,NaN,NaN,NaN,NaN,2.225,10.095,926.16,337.42,0.01563,0.54247
9.0707,734.92,8.2454,-29.441,8.9105,29.696,25.334,0.013455,25.334,0.030429,0.57744,3.885,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.026408,698402,0,11.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8593e-4,NaN,NaN,NaN,NaN,2.2411,10.094,926.14,337.42,0.016837,0.54258
9.0889,735.06,7.7495,-27.288,8.4106,27.514,25.323,0.013471,25.323,0.03048,0.64137,3.518,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.024927,659215,0,10.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3696e-4,NaN,NaN,NaN,NaN,2.2362,10.093,926.13,337.42,0.018173,0.54269
9.1085,735.21,7.2534,-25.26,7.9109,25.458,25.31,0.013488,25.31,0.030535,0.70365,3.171,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.023446,620039,0,8.9578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.882e-4,NaN,NaN,NaN,NaN,2.231,10.092,926.11,337.41,0.01964,0.54285
9.1298,735.36,6.757,-23.352,7.4085,23.521,25.294,0.013506,25.294,0.030594,0.76354,2.8172,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.021957,580658,0,7.8562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3968e-4,NaN,NaN,NaN,NaN,2.2116,10.091,926.09,337.41,0.021257,0.54298
9.1528,735.51,6.2602,-21.562,6.9022,21.701,25.276,0.013525,25.276,0.030658,0.82,2.4506,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.020456,540964,0,6.8188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9142e-4,NaN,NaN,NaN,NaN,2.1715,10.09,926.08,337.41,0.023041,0.5431
9.1778,735.66,5.763,-19.901,6.3972,20.014,25.255,0.013544,25.255,0.030728,0.87307,2.1241,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01896,501382,0,5.8575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4343e-4,NaN,NaN,NaN,NaN,2.1368,10.089,926.06,337.41,0.024983,0.54321
9.2049,735.81,5.2658,-18.385,5.9063,18.486,25.23,0.013564,25.23,0.030803,0.92516,1.9259,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.017505,462904,0,4.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9577e-4,NaN,NaN,NaN,NaN,2.1661,10.088,926.04,337.41,0.027047,0.54334
9.2341,735.96,4.7684,-16.998,5.4186,17.087,25.203,0.013585,25.203,0.030884,0.97625,1.7462,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.016059,424675,0,4.2024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4863e-4,NaN,NaN,NaN,NaN,2.2031,10.087,926.03,337.41,0.029262,0.5435
9.2657,736.1,4.271,-15.743,4.9404,15.825,25.171,0.013606,25.171,0.030971,1.0271,1.6098,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.014642,387189,0,3.4933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0215e-4,NaN,NaN,NaN,NaN,2.2685,10.086,926.01,337.41,0.031595,0.54363
9.2998,736.24,3.7733,-14.602,4.4557,14.671,25.135,0.013628,25.135,0.031065,1.0757,1.4265,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.013206,349201,0,2.8415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5658e-4,NaN,NaN,NaN,NaN,2.2968,10.085,926,337.41,0.03408,0.54376
9.3365,736.37,3.2753,-13.573,3.9613,13.626,25.095,0.013651,25.095,0.031167,1.1199,1.2043,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01174,310449,0,2.2458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1208e-4,NaN,NaN,NaN,NaN,2.2814,10.084,925.98,337.41,0.036695,0.54388
9.3758,736.48,2.7769,-12.674,3.4747,12.714,25.05,0.013674,25.05,0.031276,1.1599,1.0166,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.010298,272314,0,1.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6888e-4,NaN,NaN,NaN,NaN,2.2802,10.084,925.97,337.41,0.039326,0.54402
9.4177,736.59,2.2781,-11.898,2.9898,11.927,25.001,0.013698,25.001,0.031392,1.1949,0.83522,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0088609,234305,0,1.2793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2749e-4,NaN,NaN,NaN,NaN,2.2678,10.083,925.95,337.41,0.041922,0.54415
9.4621,736.68,1.779,-11.249,2.5154,11.27,24.947,0.013722,24.947,0.031515,1.2249,0.67648,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0074552,197131,0,0.90556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.886e-4,NaN,NaN,NaN,NaN,2.2615,10.082,925.94,337.41,0.044367,0.5443
9.5087,736.75,1.2796,-10.724,2.05,10.737,24.889,0.013746,24.889,0.031644,1.2494,0.52653,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0060758,160655,0,0.60145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5334e-4,NaN,NaN,NaN,NaN,2.2436,10.082,925.93,337.41,0.046568,0.54444
9.5571,736.8,0.77994,-10.312,1.5718,10.318,24.828,0.013771,24.828,0.031778,1.267,0.36177,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0046585,123180,0,0.35358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2337e-4,NaN,NaN,NaN,NaN,2.1622,10.081,925.92,337.41,0.048458,0.54458
9.6069,736.83,0.28011,-10.037,1.1806,10.04,24.765,0.013795,24.765,0.031916,1.2801,0.26385,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0034992,92524,0,0.19949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0085e-4,NaN,NaN,NaN,NaN,2.1533,10.081,925.92,337.41,0.049799,0.54473
9.6576,736.83,-0.21982,-9.8619,0.80926,9.8632,24.7,0.013819,24.7,0.032056,1.288,0.1549,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0023985,63419,0,0.093724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8882e-4,NaN,NaN,NaN,NaN,2.0393,10.081,925.91,337.41,0.050694,0.54486
# Event APOGEE occurred at t=9.7089 seconds
9.7089,736.81,-0.71976,-9.7608,0.7932,9.762,24.634,0.013843,24.634,0.032198,1.2958,0.15235,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0023509,62161,0,0.090042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8915e-4,NaN,NaN,NaN,NaN,2.0501,10.081,925.91,337.41,0.051219,0.54498
9.7609,736.75,-1.2196,-9.6083,1.0828,9.6109,24.566,0.013867,24.566,0.032342,1.3073,0.22074,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0032093,84859,0,0.16781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.025e-4,NaN,NaN,NaN,NaN,2.1048,10.081,925.92,337.41,0.052024,0.54526
9.8143,736.68,-1.7194,-9.3626,1.4385,9.3667,24.496,0.01389,24.496,0.032489,1.322,0.2764,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0042633,112728,0,0.29613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2701e-4,NaN,NaN,NaN,NaN,2.0699,10.081,925.92,337.41,0.053381,0.54541
9.8698,736.57,-2.219,-8.9882,1.8842,8.9956,24.422,0.013914,24.422,0.032643,1.3423,0.36577,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0055842,147658,0,0.50807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5952e-4,NaN,NaN,NaN,NaN,2.0925,10.082,925.93,337.41,0.055583,0.54554
9.9286,736.42,-2.7184,-8.5043,2.325,8.5141,24.342,0.013937,24.342,0.032805,1.3662,0.40652,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0068908,182208,0,0.77364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9762e-4,NaN,NaN,NaN,NaN,2.0364,10.082,925.94,337.41,0.058726,0.54567
9.9918,736.23,-3.2177,-7.8964,2.785,7.9078,24.255,0.013961,24.255,0.032979,1.3931,0.4246,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.008254,218258,0,1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3928e-4,NaN,NaN,NaN,NaN,1.9714,10.083,925.96,337.41,0.063228,0.54579
10.062,735.99,-3.7163,-7.1417,3.2833,7.1621,24.156,0.013985,24.156,0.033171,1.4308,0.54032,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.009731,257318,0,1.5429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8331e-4,NaN,NaN,NaN,NaN,2.0463,10.084,925.98,337.41,0.069812,0.54592
10.141,735.68,-4.2134,-6.2604,3.7835,6.2969,24.041,0.01401,24.041,0.03339,1.4845,0.67689,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.011213,296523,0,2.0488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2949e-4,NaN,NaN,NaN,NaN,2.1409,10.086,926.01,337.41,0.079404,0.54604
10.235,735.26,-4.7079,-5.2634,4.2757,5.3214,23.898,0.014036,23.898,0.033651,1.5581,0.78328,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.012672,335102,0,2.6166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.775e-4,NaN,NaN,NaN,NaN,2.2116,10.088,926.04,337.41,0.09396,0.54617
10.353,734.67,-5.2005,-4.1707,4.7471,4.2336,23.709,0.014062,23.709,0.033983,1.644,0.7275,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.014069,372061,0,3.2255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2705e-4,NaN,NaN,NaN,NaN,2.1664,10.091,926.09,337.41,0.1181,0.54629
10.517,733.78,-5.6839,-2.9426,5.2339,3.0438,23.428,0.014088,23.428,0.034454,1.7719,0.77821,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.015512,410234,0,3.9212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7742e-4,NaN,NaN,NaN,NaN,2.2342,10.095,926.15,337.42,0.16427,0.54642
10.801,732.1,-6.1476,-1.6327,5.7024,1.7606,22.898,0.014109,22.898,0.035303,1.959,0.6588,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.0169,446985,0,4.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2958e-4,NaN,NaN,NaN,NaN,2.2305,10.1,926.25,337.42,0.28399,0.54654
11.301,728.99,-6.2791,-0.26312,6.1549,0.53369,21.861,0.014089,21.861,0.036927,2.1911,0.46432,46.168,9.9596,9.8049,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018241,482519,0,5.4239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.835e-4,NaN,NaN,NaN,NaN,2.2585,10.111,926.44,337.43,0.5,0.54665
11.801,725.87,-6.2087,0.14087,6.2791,0.14099,20.764,0.014031,20.764,0.038716,2.194,0.005776,46.168,9.9596,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018608,492382,0,5.6469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1016e-4,NaN,NaN,NaN,NaN,2.1952,10.132,926.79,337.44,0.5,0.54677
12.301,722.76,-6.2472,-0.076967,6.2094,0.16515,19.686,0.013961,19.686,0.040633,2.121,0.14612,46.168,9.9596,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018401,487034,0,5.5238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.04e-4,NaN,NaN,NaN,NaN,2.1012,10.152,927.14,337.45,0.5,0.54689
12.801,719.64,-6.2214,0.051597,6.2508,0.34066,18.667,0.013889,18.667,0.04263,1.9526,0.33673,46.168,9.9596,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018523,490404,0,5.5995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0271e-4,NaN,NaN,NaN,NaN,1.9079,10.172,927.49,337.46,0.5,0.54701
13.301,716.52,-6.2374,-0.03197,6.2216,0.095287,17.702,0.01382,17.702,0.044731,1.9077,0.089763,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018436,488236,0,5.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8988e-4,NaN,NaN,NaN,NaN,1.8959,10.192,927.83,337.48,0.5,0.54713
13.801,713.41,-6.2268,0.021086,6.2375,0.067381,16.74,0.013755,16.74,0.047077,1.9397,0.063997,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018482,489602,0,5.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8868e-4,NaN,NaN,NaN,NaN,1.9487,10.213,928.18,337.49,0.5,0.54724
14.301,710.29,-6.2305,-0.007318,6.2281,0.19903,15.746,0.01369,15.746,0.049816,2.0392,0.19889,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018454,488986,0,5.5639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8961e-4,NaN,NaN,NaN,NaN,2.0665,10.233,928.53,337.5,0.5,0.54738
14.801,707.18,-6.2248,0.011264,6.2344,0.34767,14.77,0.013624,14.77,0.052852,1.8654,0.34749,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018472,489598,0,5.5768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9602e-4,NaN,NaN,NaN,NaN,1.819,10.253,928.88,337.51,0.5,0.54751
15.301,704.07,-6.2272,-0.0047312,6.228,0.30986,13.798,0.013559,13.798,0.056302,2.0203,0.30983,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018452,489216,0,5.5671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8505e-4,NaN,NaN,NaN,NaN,2.0626,10.273,929.23,337.52,0.5,0.54764
